"code","name"
"BMvaVerVvpIie","Investeringen in eigen beheer vervaardigd verbouwingen"
"BMvaVerVvpAdo","Aankopen door overnames verbouwingen"
"BMvaVerVvpDes","Desinvesteringen verbouwingen"
"BMvaVerVvpDda","Desinvesteringen door afstotingen verbouwingen"
"BMvaVerVvpOmv","Omrekeningsverschillen verbouwingen"
"BMvaVerVvpOve","Overboekingen verbouwingen"
"BMvaVerVvpOvm","Overige mutaties verbouwingen"
"BMvaVerCae","Cumulatieve afschrijvingen en waardeverminderingen verbouwingen"
"BMvaVerCaeBeg","Beginbalans verbouwingen"
"BMvaVerCaeAfs","Afschrijvingen verbouwingen"
"BMvaVerCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen verbouwingen"
"BMvaVerCaeWvr","Waardeverminderingen verbouwingen"
"BMvaVerCaeTvw","Terugneming van waardeverminderingen verbouwingen"
"BMvaVerCuh","Cumulatieve herwaarderingen verbouwingen"
"BMvaVerCuhBeg","Beginbalans verbouwingen"
"BMvaVerCuhHer","Herwaarderingen verbouwingen"
"BMvaVerCuhAfh","Afschrijving herwaarderingen verbouwingen"
"BMvaVerCuhDeh","Desinvestering herwaarderingen verbouwingen"
"BMvaVio","Vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvp","Verkrijgings- of vervaardigingsprijs vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpBeg","Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpIna","Investeringen nieuw aangeschaft vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpIta","Investeringen tweedehands aangeschaft vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpIie","Investeringen in eigen beheer vervaardigd vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpAdo","Aankopen door overnames vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpDes","Desinvesteringen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpDda","Desinvesteringen door afstotingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpOmv","Omrekeningsverschillen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpOve","Overboekingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioVvpOvm","Overige mutaties vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCae","Cumulatieve afschrijvingen en waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCaeBeg","Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCaeAfs","Afschrijvingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCaeWvr","Waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCaeTvw","Terugneming van waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCuh","Cumulatieve herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCuhBeg","Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCuhHer","Herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCuhAfh","Afschrijving herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaVioCuhDeh","Desinvestering herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie"
"BMvaSvi","Sociaal vastgoed in exploitatie"
"BMvaSviVvp","Verkrijgings- of vervaardigingsprijs sociaal vastgoed in exploitatie"
"BMvaSviVvpBeg","Beginbalans sociaal vastgoed in exploitatie"
"BMvaSviVvpIna","Investeringen nieuw aangeschaft sociaal vastgoed in exploitatie"
"BMvaSviVvpIta","Investeringen tweedehands aangeschaft sociaal vastgoed in exploitatie"
"BMvaSviVvpIie","Investeringen in eigen beheer vervaardigd sociaal vastgoed in exploitatie"
"BMvaSviVvpAdo","Aankopen door overnames sociaal vastgoed in exploitatie"
"BMvaSviVvpDes","Desinvesteringen sociaal vastgoed in exploitatie"
"BMvaSviVvpDda","Desinvesteringen door afstotingen sociaal vastgoed in exploitatie"
"BMvaSviVvpOmv","Omrekeningsverschillen sociaal vastgoed in exploitatie"
"BMvaSviVvpOve","Overboekingen sociaal vastgoed in exploitatie"
"BMvaSviVvpOvm","Overige mutaties sociaal vastgoed in exploitatie"
"BMvaSviCae","Cumulatieve afschrijvingen en waardeverminderingen sociaal vastgoed in exploitatie"
"BMvaSviCaeBeg","Beginbalans sociaal vastgoed in exploitatie"
